chunk,feature,importance_gain,importance_split
1,f001_AMT_CREDIT-d-CNT_FAM_MEMBERS,4767.107315063477,409
1,f001_AMT_CREDIT-d-AMT_ANNUITY,28639.436586856842,1675
1,f001_AMT_CREDIT-d-CNT_CHILDREN,3105.3861150741577,285
1,f001_AMT_GOODS_PRICE-d-AMT_CREDIT,11555.572934150696,525
1,f001_AMT_CREDIT,6634.80149269104,438
1,f001_AMT_GOODS_PRICE-d-cnt_adults,6020.638333082199,473
1,f001_AMT_ANNUITY-d-AMT_INCOME_TOTAL,10814.18734884262,875
1,f001_AMT_GOODS_PRICE,7662.601661205292,515
1,f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,13884.235614776611,818
1,f001_AMT_GOODS_PRICE-d-CNT_FAM_MEMBERS,4445.193708896637,369
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT-d-AMT_INCOME_TOTAL,6174.725101947784,461
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT,9437.705033540726,558
1,f001_AMT_GOODS_PRICE-d-CNT_CHILDREN,2721.738899230957,245
1,f001_CNT_CHILDREN-d-CNT_FAM_MEMBERS,291.50696182250977,27
1,f001_AMT_INCOME_TOTAL_by_ORGANIZATION_TYPE,368.30593967437744,30
1,f001_CODE_GENDER,6154.191024303436,288
1,f001_APARTMENTS_AVG,1905.153021812439,171
1,f001_APARTMENTS_MEDI,1809.3298597335815,170
1,f001_DAYS_BIRTH,4515.364760875702,318
1,f001_APARTMENTS_MODE,2184.903573989868,195
1,f001_DAYS_EMPLOYED-d-DAYS_BIRTH,7616.033634185791,506
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_BIRTH,4674.647594451904,406
1,f001_DAYS_EMPLOYED,8818.748909950256,503
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,5030.960184574127,409
1,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH,8853.172926425934,636
1,f001_DAYS_ID_PUBLISH,8532.001391649246,642
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED,5467.704523563385,383
1,f001_DAYS_ID_PUBLISH-s-DAYS_EMPLOYED,4428.217607498169,395
1,f001_DAYS_LAST_PHONE_CHANGE,6240.720622062683,521
1,f001_DAYS_LAST_PHONE_CHANGE-d-DAYS_BIRTH,5451.447130203247,462
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,5012.2557916641235,419
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_REGISTRATION,5440.027708053589,483
1,f001_DEF_60_CNT_SOCIAL_CIRCLE,847.1909275054932,60
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_ID_PUBLISH,5268.680272102356,480
1,f001_DAYS_REGISTRATION-s-DAYS_BIRTH,5762.440385818481,523
1,f001_DEF_60_CNT_SOCIAL_CIRCLE-d-OBS_60_CNT_SOCIAL_CIRCLE,2904.723176240921,206
1,f001_DEF_30_CNT_SOCIAL_CIRCLE,1261.2012367248535,80
1,f001_EXT_SOURCES_1-2-3,3861.4590010643005,335
1,f001_DAYS_REGISTRATION,6168.691046714783,534
1,f001_EXT_SOURCES_sum,34093.58013629913,701
1,f001_ELEVATORS_AVG,957.2816667556763,83
1,f001_ELEVATORS_MEDI,510.35883951187134,46
1,f001_EXT_SOURCES_2-3,10155.287487983704,795
1,f001_ELEVATORS_MODE,453.69638872146606,41
1,f001_DEF_30_CNT_SOCIAL_CIRCLE-d-OBS_30_CNT_SOCIAL_CIRCLE,2983.2339811325073,222
1,f001_EXT_SOURCES_1-2,5491.0973653793335,441
1,f001_EXT_SOURCES_prod,9224.225047111511,362
1,f001_EXT_SOURCES_2-1-3,3542.10787153244,300
1,f001_EXT_SOURCE_2,22374.207099318504,972
1,f001_FLAG_WORK_PHONE,2226.1210799217224,163
1,f001_EXT_SOURCE_3,29807.97992181778,1106
1,f001_EXT_SOURCES_mean,142484.74451065063,1047
1,f001_FLAG_DOCUMENT_6,20.025919437408447,2
1,f001_EXT_SOURCE_1,8083.056073665619,598
1,f001_EXT_SOURCES_std,7684.832551002502,620
1,f001_FLAG_EMP_PHONE,0.0,0
1,f001_FLAG_DOCUMENT_3,559.1107497215271,29
1,f001_FLAG_PHONE,695.0412192344666,70
1,f001_FLOORSMIN_MODE,733.6285481452942,66
1,f001_LIVE_CITY_NOT_WORK_CITY,176.84324169158936,17
1,f001_FLOORSMAX_MODE,395.2567811012268,31
1,f001_HOUR_APPR_PROCESS_START,2585.951844435185,245
1,f001_FLOORSMIN_AVG,976.109757900238,89
1,f001_FLOORSMIN_MEDI,513.0142073631287,46
1,f001_REGION_RATING_CLIENT,1013.4720296859741,74
1,f001_FLOORSMAX_MEDI,603.3111305236816,45
1,f001_REG_CITY_NOT_LIVE_CITY,584.8046379089355,45
1,f001_OWN_CAR_AGE-d-DAYS_BIRTH,5297.057297468185,388
1,f001_LIVINGAREA_MODE,2688.1219685077667,237
1,f001_FLOORSMAX_AVG,796.0191140174866,62
1,f001_LIVINGAREA_MEDI,2088.7415823936462,188
1,f001_LIVINGAREA_AVG,2092.964140892029,170
1,f001_OWN_CAR_AGE-s-DAYS_BIRTH,3901.617343902588,323
1,f001_REG_CITY_NOT_WORK_CITY,339.749228477478,27
1,f001_REGION_POPULATION_RELATIVE,6701.786509037018,593
1,f001_alldocs_skew,666.6406812667847,36
1,f001_OWN_CAR_AGE-s-DAYS_EMPLOYED,4932.4156312942505,337
1,f001_REGION_RATING_CLIENT_W_CITY,1671.3081784248352,109
1,f001_OWN_CAR_AGE,2747.415361404419,193
1,f001_OWN_CAR_AGE-d-DAYS_EMPLOYED,4312.833991527557,330
1,f001_TOTALAREA_MODE,3509.505145072937,302
1,f001_alldocs_std,274.09990215301514,25
1,f001_age,4109.166055679321,289
1,f001_alldocs_kurt,3872.4296741485596,186
1,f002_NAME_EDUCATION_TYPE,1205.6895952224731,49
1,f002_NAME_HOUSING_TYPE,476.7129592895508,46
1,f002_FONDKAPREMONT_MODE,220.26299953460693,24
1,f001_building_score_mode_sum,1687.2468328475952,130
1,f001_building_score_avg_mean,2809.4902715682983,235
1,f001_building_score_medi_sum,1410.6842484474182,120
1,f002_HOUSETYPE_MODE,382.9261016845703,33
1,f001_building_score_avg_sum,1222.2437062263489,95
1,f001_age_finish_payment,6111.628040313721,397
1,f001_building_score_mode_mean,3303.7462725639343,285
1,f001_building_score_medi_mean,2737.818202495575,235
1,f002_NAME_CONTRACT_TYPE,174.71964931488037,13
1,f003_NAME_INCOME_TYPE_ta,2596.456775188446,196
1,f002_WALLSMATERIAL_MODE,582.0845980644226,62
1,f002_NAME_INCOME_TYPE,597.8185501098633,46
1,f102_active_AMT_ANNUITY_d_app_AMT_ANNUITY_diff_std,27.459929943084717,2
1,f102_active_AMT_ANNUITY_d_app_AMT_ANNUITY_pctchange_std,72.28855991363525,8
1,f003_OCCUPATION_TYPE_ta,10423.173528194427,694
1,f002_ORGANIZATION_TYPE,57989.667266368866,3930
1,f003_NAME_EDUCATION_TYPE_ta,7303.900382518768,384
1,f001_maxwell_feature,5855.01794719696,331
1,f003_NAME_FAMILY_STATUS_ta,5772.323375701904,452
1,f003_ORGANIZATION_TYPE_ta,5355.755053520203,404
1,f003_NAME_HOUSING_TYPE_ta,2106.257402896881,194
1,f102_active_AMT_ANNUITY_d_app_AMT_CREDIT_diff_std,88.02107810974121,7
1,f102_active_AMT_ANNUITY_d_app_AMT_ANNUITY_mean,872.8809108734131,70
1,f102_active_AMT_ANNUITY_d_app_AMT_ANNUITY_min,902.7384505271912,74
1,f102_active_AMT_ANNUITY_d_app_AMT_CREDIT_pctchange_std,12.64780044555664,1
1,f102_active_AMT_ANNUITY_d_app_AMT_ANNUITY_max,598.0074815750122,51
1,f102_active_AMT_ANNUITY_d_app_AMT_CREDIT_std,77.67804002761841,7
1,f102_active_AMT_ANNUITY_d_app_AMT_GOODS_PRICE_max,948.2076897621155,85
1,f102_active_AMT_ANNUITY_d_app_AMT_CREDIT_max,742.1939082145691,62
1,f102_active_AMT_ANNUITY_d_app_AMT_CREDIT_mean,535.5080461502075,47
1,f102_active_AMT_ANNUITY_d_app_AMT_CREDIT_min,820.551221370697,67
1,f102_active_AMT_ANNUITY_d_app_AMT_GOODS_PRICE_mean,618.7745413780212,61
1,f102_active_AMT_ANNUITY_d_app_AMT_GOODS_PRICE_std,107.80166006088257,10
1,f102_active_AMT_ANNUITY_d_app_AMT_GOODS_PRICE_pctchange_std,7.834179878234863,1
1,f102_active_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_diff_std,77.57815933227539,9
1,f102_active_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_pctchange_std,6.939000129699707,1
1,f102_active_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_mean,1081.0232219696045,93
1,f102_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_diff_std,7.728829860687256,1
1,f102_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_pctchange_std_div_mean,23.91070032119751,3
1,f102_active_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_min,1292.9950394630432,114
1,f102_active_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_max,971.5590901374817,93
1,f102_active_AMT_ANNUITY_m_app_AMT_GOODS_PRICE_d_app_AMT_INCOME_TOTAL_std_div_mean,73.29934978485107,9
1,f102_active_AMT_ANNUITY_max,1240.3869767189026,108
1,f102_active_AMT_ANNUITY_min,1076.8969922065735,101
1,f102_active_AMT_ANNUITY_mean,827.0906686782837,72
1,f102_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_diff_std,7.560070037841797,1
1,f102_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_mean,824.4741172790527,63
1,f102_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_pctchange_std,131.40834999084473,15
1,f102_active_AMT_ANNUITY_s_app_AMT_ANNUITY_diff_std,38.46539115905762,4
1,f102_active_AMT_ANNUITY_s_app_AMT_ANNUITY_mean,952.2667393684387,77
1,f102_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_max,1160.1593465805054,104
1,f102_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_min,796.8705997467041,72
1,f102_active_AMT_ANNUITY_s_app_AMT_ANNUITY_max,997.2366495132446,81
1,f102_active_AMT_ANNUITY_s_app_AMT_ANNUITY_min,876.5870699882507,78
1,f102_active_AMT_ANNUITY_s_app_AMT_ANNUITY_pctchange_std,22.900710105895996,3
1,f102_active_AMT_ANNUITY_s_app_AMT_CREDIT_d_app_AMT_INCOME_TOTAL_pctchange_std,28.48480987548828,3
1,f102_active_AMT_ANNUITY_s_app_AMT_CREDIT_d_app_AMT_INCOME_TOTAL_diff_std,0.0,0
1,f102_active_AMT_ANNUITY_s_app_AMT_ANNUITY_std,174.99496984481812,20
1,f102_active_AMT_ANNUITY_s_app_AMT_CREDIT_std,100.59722995758057,11
1,f102_active_AMT_ANNUITY_s_app_AMT_CREDIT_diff_std,14.932999610900879,2
1,f102_active_AMT_ANNUITY_s_app_AMT_CREDIT_d_app_AMT_INCOME_TOTAL_pctchange_std_div_mean,97.4836802482605,12
1,f102_active_AMT_ANNUITY_s_app_AMT_CREDIT_d_app_AMT_INCOME_TOTAL_std_div_mean,31.183029651641846,3
1,f102_active_AMT_ANNUITY_s_app_AMT_CREDIT_pctchange_std_div_mean,8.180729866027832,1
