chunk,feature,importance_gain,importance_split
1,f001_AMT_CREDIT-d-CNT_CHILDREN,2391.600968360901,177
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT-d-AMT_INCOME_TOTAL,5737.50350189209,342
1,f001_AMT_ANNUITY-d-AMT_INCOME_TOTAL,5904.207818984985,422
1,f001_AMT_GOODS_PRICE-d-cnt_adults,2751.3316502571106,200
1,f001_AMT_CREDIT-d-CNT_FAM_MEMBERS,3740.3301000595093,273
1,f001_AMT_GOODS_PRICE-d-CNT_FAM_MEMBERS,3311.396970272064,248
1,f001_AMT_CREDIT,2535.2847814559937,171
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT,5564.3369789123535,328
1,f001_AMT_GOODS_PRICE-d-CNT_CHILDREN,1604.8717985153198,121
1,f001_AMT_GOODS_PRICE-d-AMT_CREDIT,10826.57100200653,438
1,f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,10354.34730052948,517
1,f001_AMT_CREDIT-d-AMT_ANNUITY,12296.392838954926,756
1,f001_AMT_INCOME_TOTAL_by_ORGANIZATION_TYPE,304.0056619644165,20
1,f001_APARTMENTS_AVG,1655.3396735191345,118
1,f001_APARTMENTS_MODE,1673.0436067581177,121
1,f001_AMT_GOODS_PRICE,4337.2596979141235,259
1,f001_APARTMENTS_MEDI,1541.963255405426,111
1,f001_CNT_CHILDREN-d-CNT_FAM_MEMBERS,170.30332946777344,12
1,f001_CODE_GENDER,5467.992862701416,247
1,f001_DAYS_BIRTH,2118.175019264221,143
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_BIRTH,4005.7693037986755,283
1,f001_DAYS_EMPLOYED-d-DAYS_BIRTH,4471.953850269318,268
1,f001_DAYS_EMPLOYED,7413.872939586639,334
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,4150.081641674042,264
1,f001_DAYS_ID_PUBLISH,5640.578947067261,411
1,f001_DAYS_ID_PUBLISH-s-DAYS_EMPLOYED,3314.5726413726807,241
1,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH,5754.881198883057,385
1,f001_DAYS_LAST_PHONE_CHANGE-d-DAYS_BIRTH,3139.642491340637,234
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED,3950.5276350975037,257
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,3043.312880039215,200
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_ID_PUBLISH,3333.4952087402344,253
1,f001_DAYS_LAST_PHONE_CHANGE,3233.276183128357,238
1,f001_DEF_30_CNT_SOCIAL_CIRCLE,1401.5611810684204,85
1,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_REGISTRATION,3648.0941886901855,278
1,f001_DEF_60_CNT_SOCIAL_CIRCLE,638.591628074646,44
1,f001_DEF_30_CNT_SOCIAL_CIRCLE-d-OBS_30_CNT_SOCIAL_CIRCLE,2843.7206864356995,184
1,f001_DAYS_REGISTRATION-s-DAYS_BIRTH,3386.3243474960327,264
1,f001_DAYS_REGISTRATION,3387.933509349823,252
1,f001_ELEVATORS_MEDI,201.1495804786682,16
1,f001_DEF_60_CNT_SOCIAL_CIRCLE-d-OBS_60_CNT_SOCIAL_CIRCLE,2457.5527687072754,159
1,f001_ELEVATORS_MODE,312.9329071044922,22
1,f001_ELEVATORS_AVG,570.6414923667908,41
1,f001_EXT_SOURCES_1-2-3,3153.3416981697083,217
1,f001_EXT_SOURCES_sum,36671.20575141907,558
1,f001_EXT_SOURCES_2-3,9231.752372264862,536
1,f001_EXT_SOURCES_1-2,4373.053769111633,313
1,f001_EXT_SOURCES_2-1-3,2607.3377542495728,166
1,f001_EXT_SOURCES_prod,7932.0210971832275,297
1,f001_EXT_SOURCES_mean,120112.24004077911,820
1,f001_EXT_SOURCES_std,4876.877908706665,341
1,f001_EXT_SOURCE_1,6891.173480987549,449
1,f001_EXT_SOURCE_3,22456.62025785446,861
