chunk,feature,importance_gain,importance_split
1,f001_AMT_ANNUITY-d-CNT_FAM_MEMBERS,7875.8431215286255,663
1,f001_AMT_ANNUITY-d-AMT_CREDIT,69576.27184391022,2953
1,f001_AMT_ANNUITY-d-CNT_CHILDREN,6437.256206035614,562
1,f001_AMT_ANNUITY,13572.692537784576,1004
1,f001_AMT_CREDIT-d-AMT_INCOME_TOTAL,10474.570644378662,849
1,f001_AMT_GOODS_PRICE-d-AMT_INCOME_TOTAL,10939.842502593994,927
1,f001_AMT_INCOME_TOTAL-d-CNT_FAM_MEMBERS,5487.7257788181305,498
1,f001_AMT_REQ_CREDIT_BUREAU_DAY,436.35832166671753,36
1,f001_AMT_ANNUITY-d-cnt_adults,8335.029829502106,696
1,f001_AMT_REQ_CREDIT_BUREAU_HOUR,119.74915027618408,10
1,f001_AMT_INCOME_TOTAL-d-cnt_adults,4817.8323011398315,431
1,f001_AMT_CREDIT-d-cnt_adults,9205.537049770355,757
1,f001_AMT_REQ_CREDIT_BUREAU_WEEK,409.3061079978943,29
1,f001_AMT_INCOME_TOTAL,6177.850333213806,543
1,f001_AMT_REQ_CREDIT_BUREAU_MON,1424.860656261444,129
1,f001_AMT_REQ_CREDIT_BUREAU_QRT,3243.507284641266,279
1,f001_AMT_INCOME_TOTAL-d-CNT_CHILDREN,4724.30601811409,410
1,f001_AMT_REQ_CREDIT_BUREAU_YEAR,6435.453141927719,502
1,f001_CNT_CHILDREN,260.924250125885,24
1,f001_BASEMENTAREA_MEDI,2582.732855796814,238
1,f001_COMMONAREA_AVG,2174.2241258621216,202
1,f001_BASEMENTAREA_AVG,3629.0908131599426,303
1,f001_BASEMENTAREA_MODE,3148.518916130066,280
1,f001_AMT_REQ_CREDIT_BUREAU_sum,2275.218001842499,201
1,f001_COMMONAREA_MEDI,2513.9463505744934,230
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_EMPLOYED,3123.2232868671417,274
1,f001_CNT_FAM_MEMBERS,719.4274816513062,64
1,f001_DAYS_ID_PUBLISH-d-DAYS_BIRTH,12279.299603939056,922
1,f001_COMMONAREA_MODE,2459.928558111191,230
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH,18019.192996382713,1362
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_REGISTRATION,4704.292829751968,407
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_REGISTRATION-s-DAYS_BIRTH,4794.49133348465,367
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_ID_PUBLISH,5643.378578186035,464
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_REGISTRATION-s-DAYS_EMPLOYED,2490.9249501228333,218
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED,4945.828847408295,349
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_REGISTRATION,4229.760298728943,361
1,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_ID_PUBLISH,2999.266809463501,248
1,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,4487.629004001617,388
1,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_REGISTRATION,4178.628996372223,365
1,f001_DAYS_ID_PUBLISH-d-DAYS_EMPLOYED,7891.18151807785,609
1,f001_DAYS_ID_PUBLISH-d-DAYS_REGISTRATION,5860.1590032577515,490
1,f001_DAYS_ID_PUBLISH-s-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_REGISTRATION,5459.879496335983,453
1,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH-d-DAYS_REGISTRATION-s-DAYS_EMPLOYED,3502.41051197052,313
1,f001_DAYS_ID_PUBLISH-s-DAYS_REGISTRATION,5833.098913669586,506
