chunk,feature,importance_gain,importance_split
1,f001_AMT_ANNUITY-d-AMT_CREDIT,40314.20668506622,1449
1,f001_AMT_ANNUITY-d-cnt_adults,4703.709943294525,316
1,f001_AMT_ANNUITY-d-CNT_FAM_MEMBERS,4680.859805107117,342
1,f001_AMT_CREDIT-d-AMT_INCOME_TOTAL,4491.778044700623,314
1,f001_AMT_ANNUITY,5560.488873004913,368
1,f001_AMT_ANNUITY-d-CNT_CHILDREN,3937.83913230896,294
1,f001_AMT_REQ_CREDIT_BUREAU_HOUR,228.0714783668518,13
1,f001_AMT_REQ_CREDIT_BUREAU_DAY,506.1649761199951,27
1,f001_AMT_CREDIT-d-cnt_adults,4671.807813644409,336
1,f001_AMT_GOODS_PRICE-d-AMT_INCOME_TOTAL,4783.128795623779,345
1,f001_AMT_INCOME_TOTAL-d-CNT_FAM_MEMBERS,2991.009331226349,227
1,f001_AMT_INCOME_TOTAL-d-cnt_adults,2144.5208024978638,162
1,f001_AMT_REQ_CREDIT_BUREAU_QRT,2567.477436065674,167
1,f001_AMT_INCOME_TOTAL-d-CNT_CHILDREN,2906.427107334137,219
1,f001_AMT_REQ_CREDIT_BUREAU_MON,893.7785501480103,73
1,f001_AMT_REQ_CREDIT_BUREAU_WEEK,315.1282081604004,17
1,f001_AMT_INCOME_TOTAL,3461.276668548584,251
1,f001_AMT_REQ_CREDIT_BUREAU_sum,1147.7061314582825,89
1,f001_BASEMENTAREA_AVG,1667.0507788658142,121
1,f001_CNT_FAM_MEMBERS,465.9269905090332,38
1,f001_BASEMENTAREA_MODE,1796.9040060043335,134
1,f001_BASEMENTAREA_MEDI,1536.1590204238892,116
1,f001_AMT_REQ_CREDIT_BUREAU_YEAR,3089.724759578705,204
1,f001_COMMONAREA_MEDI,902.0935492515564,72
1,f001_CNT_CHILDREN,106.48251867294312,9
1,f001_COMMONAREA_MODE,1307.9416723251343,106
1,f001_COMMONAREA_AVG,1272.4342818260193,97
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_EMPLOYED,2196.4729595184326,167
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_ID_PUBLISH,3467.9410128593445,254
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED,3813.2807173728943,195
1,f001_DAYS_ID_PUBLISH-d-DAYS_BIRTH,8701.076479434967,567
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH,15183.017734527588,966
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_REGISTRATION-s-DAYS_EMPLOYED,1455.4712057113647,109
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_REGISTRATION-s-DAYS_BIRTH,3397.4935908317566,205
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_REGISTRATION,3720.5464010238647,267
1,f001_DAYS_ID_PUBLISH-d-DAYS_REGISTRATION,4382.536123752594,301
1,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_REGISTRATION,2447.0631222724915,188
1,f001_DAYS_EMPLOYED-s-DAYS_BIRTH-d-DAYS_ID_PUBLISH-s-DAYS_REGISTRATION,3494.297152519226,260
1,f001_DAYS_ID_PUBLISH-d-DAYS_EMPLOYED,6317.818028926849,389
1,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_BIRTH,3044.154893398285,226
