chunk,feature,importance_gain,importance_split,auc_train,auc_valid
31,f001_EXT_SOURCES_mean,150172.98259,814,0.82834,0.75843
36,f001_EXT_SOURCES_sum,41323.60581,533,0.83048,0.7565
3,f002_ORGANIZATION_TYPE,40456.9393,2510,0.84126,0.76227
50,f001_EXT_SOURCE_3,26888.0308,687,0.83421,0.75943
81,f001_EXT_SOURCE_2,21361.65894,571,0.83016,0.75619
5,f101_approved_AMT_GOODS_PRICE_d_total_debt_mean,15982.10221,497,0.8519,0.76573
4,f101_approved_AMT_CREDIT_d_total_debt_mean,13013.94277,515,0.84768,0.7614
79,f001_AMT_ANNUITY-d-AMT_CREDIT,12410.96066,685,0.8299,0.75718
30,f001_AMT_CREDIT-d-AMT_ANNUITY,11959.00343,671,0.83025,0.75807
36,f001_EXT_SOURCES_prod,11206.55632,276,0.83048,0.7565
81,f002_OCCUPATION_TYPE,10305.51212,802,0.83016,0.75619
90,f105_AMT_ANNUITY_cmp_sum,10126.76724,514,0.84046,0.763
69,f001_AMT_GOODS_PRICE-d-AMT_CREDIT,10093.28777,493,0.82993,0.75797
90,f105_approved_ratio,8804.77474,350,0.84046,0.763
1,f101_active_AMT_CREDIT_d_total_debt_mean,8553.5829,398,0.83505,0.75898
79,f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,7824.70498,460,0.8299,0.75718
2,f101_active_AMT_GOODS_PRICE_d_total_debt_mean,7579.85366,288,0.83383,0.75867
6,f101_approved_interest_rate_min,7529.23138,361,0.8483,0.76456
30,f001_EXT_SOURCES_2-3,7410.42273,480,0.83025,0.75807
92,f107_AMT_GOODS_PRICE-d-total_debt,6787.29865,378,0.84362,0.76146
93,f108_AMT_GOODS_PRICE-d-total_debt,6745.25475,395,0.83976,0.75943
36,f001_AMT_GOODS_PRICE-s-AMT_CREDIT,6671.5593,367,0.83048,0.7565
80,f001_DAYS_EMPLOYED,6253.86837,332,0.83188,0.75716
91,f105_future_vs_past_max,6193.55981,254,0.83953,0.76301
1,f101_active_AMT_CREDIT_d_total_debt_min,5995.96351,275,0.83505,0.75898
91,f105_future_vs_past_max-d-income,5833.67406,251,0.83953,0.76301
19,f101_nyg_middle_CNT_PAYMENT_mean,5728.04579,278,0.83715,0.76074
2,f101_active_AMT_GOODS_PRICE_d_total_debt_min,5710.44279,252,0.83383,0.75867
5,f101_approved_AMT_GOODS_PRICE_d_total_debt_max,5703.20089,215,0.8519,0.76573
90,f001_CODE_GENDER,5648.30692,250,0.84046,0.763
83,f001_DAYS_EMPLOYED-s-DAYS_BIRTH,5586.13208,366,0.82996,0.75684
58,f003_NAME_EDUCATION_TYPE_ta,5523.7632,313,0.83186,0.75699
79,f003_OCCUPATION_TYPE_ta,5386.63541,345,0.8299,0.75718
4,f101_approved_AMT_CREDIT_d_total_debt_max,5328.9038,298,0.84768,0.7614
35,f001_AMT_GOODS_PRICE,5279.19034,343,0.83096,0.75757
91,f105_prevapp_future_payment_12m,5158.28962,221,0.83953,0.76301
7,f101_completed_AMT_GOODS_PRICE_d_total_debt_max,4993.27659,263,0.83954,0.75981
6,f101_approved_cnt_unpaid_std,4989.30949,209,0.8483,0.76456
5,f101_approved_AMT_GOODS_PRICE_d_total_debt_min,4922.1179,287,0.8519,0.76573
32,f001_EXT_SOURCE_1,4908.14959,350,0.82866,0.7571
31,f001_AMT_ANNUITY,4711.37203,355,0.82834,0.75843
81,f001_DAYS_ID_PUBLISH-s-DAYS_BIRTH,4673.85137,368,0.83016,0.75619
81,f001_maxwell_feature,4653.86232,198,0.83016,0.75619
6,f101_approved_RATE_DOWN_PAYMENT_max,4609.00716,231,0.8483,0.76456
7,f101_completed_AMT_GOODS_PRICE_d_total_debt_mean,4568.63259,273,0.83954,0.75981
4,f101_approved_AMT_CREDIT_d_total_debt_min,4555.89105,256,0.84768,0.7614
71,f104_approved_AMT_CREDIT_d_total_debt_mean,4418.02673,255,0.83256,0.75714
90,f105_DAYS_DECISION_ref_max,4407.50772,276,0.84046,0.763
18,f101_nyg_middle_AMT_GOODS_PRICE_d_total_debt_mean,4389.68853,218,0.83725,0.76071
9,f101_completed_RATE_DOWN_PAYMENT_max,4384.23711,282,0.84133,0.76069
58,f001_AMT_ANNUITY-d-AMT_INCOME_TOTAL,4356.72475,448,0.83186,0.75699
4,f101_approved_AMT_CREDIT_d_total_debt_std_div_mean,4311.7058,220,0.84768,0.7614
26,f102_approved_AMT_GOODS_PRICE_d_total_debt_max,4293.97816,243,0.83221,0.7589
28,f102_approved_interest_rate_min,4271.77618,306,0.83078,0.76043
3,f101_active_interest_rate_max,4228.14279,215,0.84126,0.76227
3,f101_active_cnt_unpaid_mean,4219.32401,242,0.84126,0.76227
51,f103_approved_interest_rate_min,4186.1418,274,0.8329,0.75806
1,f101_active_AMT_CREDIT_d_total_debt_max,4007.96886,249,0.83505,0.75898
49,f103_approved_AMT_GOODS_PRICE_d_total_debt_min,3983.88608,222,0.83438,0.75951
2,f101_active_AMT_GOODS_PRICE_d_total_debt_max,3962.07495,236,0.83383,0.75867
92,f105_total_debt_sum,3943.56533,263,0.84362,0.76146
4,f101_approved_AMT_CREDIT_d_AMT_APPLICATION_mean,3942.87768,195,0.84768,0.7614
38,f001_age_finish_payment,3939.70539,212,0.82957,0.75644
24,f102_active_AMT_GOODS_PRICE_d_total_debt_mean,3934.82284,248,0.83102,0.75847
90,f105_cnt_paid_mean,3920.95367,316,0.84046,0.763
49,f103_approved_AMT_CREDIT_d_total_debt_min,3885.6811,227,0.83438,0.75951
91,f105_prevapp_future_payment_13m,3825.41298,188,0.83953,0.76301
90,f105_amt_paid_sum,3799.56536,271,0.84046,0.763
14,f001_OWN_CAR_AGE-s-DAYS_EMPLOYED,3799.17075,222,0.83177,0.75767
26,f102_approved_AMT_GOODS_PRICE_d_total_debt_mean,3797.69721,218,0.83221,0.7589
36,f001_EXT_SOURCES_std,3792.70318,309,0.83048,0.7565
90,f105_DAYS_DECISION_max-m-DAYS_BIRTH,3771.4532,203,0.84046,0.763
92,f105_prevapp_future_payment_9m,3769.39498,219,0.84362,0.76146
72,f104_approved_AMT_GOODS_PRICE_d_total_debt_mean,3763.47731,217,0.83194,0.75664
4,f101_approved_AMT_DOWN_PAYMENT_max,3755.74464,174,0.84768,0.7614
10,f101_nyg_high_AMT_GOODS_PRICE_d_total_debt_mean,3733.17563,146,0.83344,0.75906
58,f001_DAYS_ID_PUBLISH,3732.02493,333,0.83186,0.75699
9,f101_completed_amt_paid_sum,3686.82119,250,0.84133,0.76069
55,f103_nyg_high_AMT_GOODS_PRICE_d_total_debt_min,3680.32029,141,0.82658,0.75773
24,f001_AMT_GOODS_PRICE-s-AMT_CREDIT-d-AMT_INCOME_TOTAL,3659.83799,283,0.83102,0.75847
54,f103_nyg_high_AMT_CREDIT_d_total_debt_min,3648.70115,127,0.82715,0.75676
92,f107_AMT_CREDIT-d-total_debt,3647.42175,226,0.84362,0.76146
24,f102_active_AMT_GOODS_PRICE_d_total_debt_max,3625.27648,224,0.83102,0.75847
6,f101_approved_cnt_unpaid_mean,3550.86305,197,0.8483,0.76456
90,f105_DAYS_DECISION_app_max,3548.13232,349,0.84046,0.763
51,f103_approved_cnt_unpaid_sum,3541.96626,231,0.8329,0.75806
90,f105_AMT_ANNUITY_cmp_max,3539.77946,258,0.84046,0.763
12,f101_nyg_high_RATE_DOWN_PAYMENT_max,3519.95634,239,0.83419,0.75885
90,f105_amt_unpaid_sum-p-app,3494.43609,237,0.84046,0.763
12,f101_nyg_high_completed_mean,3493.074,172,0.83419,0.75885
23,f102_active_AMT_CREDIT_d_total_debt_max,3476.95672,241,0.83135,0.75908
15,f101_nyg_low_normal_AMT_CREDIT_d_AMT_ANNUITY_mean,3458.1577,233,0.83389,0.75746
6,f101_approved_cnt_paid_mean,3421.53489,266,0.8483,0.76456
10,f101_nyg_high_AMT_GOODS_PRICE_d_total_debt_min,3411.73649,134,0.83344,0.75906
81,f001_AMT_ANNUITY-d-cnt_adults,3402.18739,295,0.83016,0.75619
77,f001_DAYS_EMPLOYED-d-DAYS_BIRTH,3387.73696,234,0.82578,0.75732
3,f101_active_interest_rate_mean,3383.09083,211,0.84126,0.76227
16,f001_alldocs_kurt,3363.98337,140,0.83523,0.7581
49,f103_approved_AMT_GOODS_PRICE_d_total_debt_mean,3345.6934,192,0.83438,0.75951
90,f105_DAYS_DECISION_ref_min,3333.10761,244,0.84046,0.763
71,f104_approved_AMT_CREDIT_d_total_debt_min,3321.55396,218,0.83256,0.75714
9,f101_completed_interest_rate_min,3293.31605,212,0.84133,0.76069
23,f102_active_AMT_CREDIT_d_total_debt_mean,3291.31625,216,0.83135,0.75908
63,f001_DAYS_LAST_PHONE_CHANGE,3226.68541,271,0.83075,0.75792
62,f001_AMT_CREDIT,3218.80926,207,0.83059,0.75663
24,f102_active_AMT_GOODS_PRICE_d_total_debt_min,3192.72382,192,0.83102,0.75847
19,f101_nyg_middle_CNT_PAYMENT_max,3180.93452,168,0.83715,0.76074
3,f101_approved_AMT_ANNUITY_d_app_AMT_ANNUITY_max,3175.95036,184,0.84126,0.76227
69,f001_age,3148.5315,197,0.82993,0.75797
10,f101_nyg_high_AMT_CREDIT_d_total_debt_min,3107.38787,155,0.83344,0.75906
9,f101_completed_cnt_paid_mean,3102.74692,247,0.84133,0.76069
3,f101_active_cnt_unpaid_max,3057.99487,166,0.84126,0.76227
34,f001_OWN_CAR_AGE-d-DAYS_BIRTH,3024.56298,213,0.82989,0.75655
18,f101_nyg_middle_AMT_CREDIT_d_total_debt_min,3016.816,166,0.83725,0.76071
6,f101_approved_interest_rate_mean,2965.20514,193,0.8483,0.76456
21,f101_refused_AMT_GOODS_PRICE_d_total_debt_mean,2961.75251,123,0.82963,0.75757
93,f108_AMT_CREDIT-d-total_debt,2932.94171,244,0.83976,0.75943
91,f105_past_payment_sum_max-d-annuity,2924.23178,189,0.83953,0.76301
21,f101_refused_AMT_GOODS_PRICE_d_total_debt_min,2878.28822,119,0.82963,0.75757
18,f101_nyg_middle_AMT_CREDIT_d_total_debt_mean,2859.80026,159,0.83725,0.76071
47,f001_REGION_POPULATION_RELATIVE,2858.41187,300,0.83128,0.75723
49,f103_approved_AMT_CREDIT_d_total_debt_mean,2849.27881,169,0.83438,0.75951
93,f108_AMT_DOWN_PAYMENT,2820.98484,170,0.83976,0.75943
49,f103_approved_AMT_GOODS_PRICE_d_total_debt_max,2796.24853,178,0.83438,0.75951
29,f001_OWN_CAR_AGE-d-DAYS_EMPLOYED,2774.9974,195,0.83074,0.75765
58,f003_NAME_FAMILY_STATUS_ta,2772.56546,259,0.83186,0.75699
41,f001_DAYS_BIRTH,2763.83893,190,0.82976,0.75885
3,f101_approved_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_max,2740.9345,178,0.84126,0.76227
72,f104_approved_AMT_GOODS_PRICE_d_total_debt_min,2737.83427,165,0.83194,0.75664
7,f101_completed_AMT_CREDIT_d_total_debt_max,2734.44096,208,0.83954,0.75981
93,f108_AMT_CREDIT-d-AMT_APPLICATION,2733.968,188,0.83976,0.75943
1,f101_active_AMT_CREDIT_d_AMT_APPLICATION_mean,2672.6885,177,0.83505,0.75898
90,f105_DAYS_DECISION_min,2672.03161,228,0.84046,0.763
90,f105_AMT_ANNUITY_cmp_min,2667.77995,266,0.84046,0.763
6,f101_completed_AMT_ANNUITY_d_app_AMT_ANNUITY_max,2623.68794,136,0.8483,0.76456
1,f101_active_AMT_CREDIT_d_AMT_APPLICATION_max,2608.98887,163,0.83505,0.75898
14,f003_ORGANIZATION_TYPE_ta,2595.61644,153,0.83177,0.75767
5,f101_approved_AMT_GOODS_PRICE_d_total_debt_std_div_mean,2580.19523,168,0.8519,0.76573
