,chunk,feature,importance_gain,importance_split,auc_train,auc_valid
1837,2,f103_nyg_low_normal_AMT_CREDIT_d_AMT_ANNUITY_max,59.0726,4,0.85107,0.77225
1402,2,f101_active_AMT_ANNUITY_s_app_AMT_INCOME_TOTAL_max,361.86406,24,0.85107,0.77225
1844,2,f101_nyg_low_normal_NAME_CONTRACT_STATUS_Refused_mean,52.6862,4,0.85107,0.77225
956,2,f101_nyg_high_AMT_DOWN_PAYMENT_mean,2590.72545,86,0.85107,0.77225
1836,2,f101_completed_AMT_GOODS_PRICE_s_app_AMT_CREDIT_min,61.22,5,0.85107,0.77225
1848,2,f102_nyg_low_normal_cnt_paid_ratio_max,47.61229,4,0.85107,0.77225
1835,2,f103_nyg_low_normal_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_DECISIONS_max,61.2523,4,0.85107,0.77225
957,2,f101_nyg_high_AMT_CREDIT_d_AMT_ANNUITY_max,2520.69341,82,0.85107,0.77225
1855,2,f103_nyg_low_normal_AMT_CREDIT_d_AMT_ANNUITY_mean,41.6336,3,0.85107,0.77225
1397,2,f101_active_DAYS_LAST_DUE_d_app_DAYS_BIRTH_min,364.5585,18,0.85107,0.77225
1395,2,f101_approved_AMT_CREDIT_d_AMT_ANNUITY_max,365.11462,29,0.85107,0.77225
1843,2,f102_nyg_middle_AMT_APPLICATION_d_app_AMT_ANNUITY_diff_max,52.87212,4,0.85107,0.77225
1701,2,f101_active_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_mean,193.06169,14,0.85107,0.77225
1703,2,f101_active_DAYS_LAST_DUE_s_DAYS_LAST_DUE_1ST_VERSION_max,192.7977,11,0.85107,0.77225
1698,2,f101_approved_AMT_GOODS_PRICE_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_max,194.9795,10,0.85107,0.77225
1841,2,f103_approved_cnt_unpaid_min,56.0443,3,0.85107,0.77225
949,2,f101_approved_DAYS_FIRST_DRAWING_d_app_DAYS_REGISTRATION_max,5085.8241,211,0.85107,0.77225
1147,2,f101_active_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_max,600.64013,36,0.85107,0.77225
1145,2,f101_completed_DAYS_LAST_DUE_d_app_DAYS_LAST_PHONE_CHANGE_max,604.82974,42,0.85107,0.77225
1720,2,f101_completed_AMT_ANNUITY_s_app_AMT_GOODS_PRICE_mean,180.3163,11,0.85107,0.77225
1700,2,f108_DAYS_TERMINATION-s-app_DAYS_ID_PUBLISH,193.469,15,0.85107,0.77225
1384,2,f101_approved_AMT_ANNUITY_s_app_AMT_ANNUITY_pctchange_max,369.33828,28,0.85107,0.77225
1833,2,f103_nyg_middle_AMT_GOODS_PRICE_d_total_debt_mean,64.1344,4,0.85107,0.77225
1413,2,f101_completed_total_debt_std,349.25792,21,0.85107,0.77225
1412,2,f101_completed_AMT_ANNUITY_d_app_AMT_GOODS_PRICE_min,351.80126,25,0.85107,0.77225
1408,2,f108_DAYS_TERMINATION-d-app_DAYS_LAST_PHONE_CHANGE,355.13276,24,0.85107,0.77225
1409,2,f104_approved_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_LAST_PHONE_CHANGE_mean,354.8206,27,0.85107,0.77225
1152,2,f101_completed_DAYS_TERMINATION_d_app_DAYS_LAST_PHONE_CHANGE_min,593.56965,45,0.85107,0.77225
1716,2,f103_nyg_high_amt_paid_sum,182.46046,13,0.85107,0.77225
1717,2,f101_approved_AMT_CREDIT_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_min,182.41278,12,0.85107,0.77225
1151,2,f101_completed_AMT_GOODS_PRICE_d_AMT_CREDIT_min,594.69478,40,0.85107,0.77225
1148,2,f101_approved_DAYS_TERMINATION_s_DAYS_FIRST_DUE_mean,599.14354,46,0.85107,0.77225
1713,2,f101_completed_AMT_CREDIT_s_app_AMT_INCOME_TOTAL_mean,185.37459,14,0.85107,0.77225
1162,2,f101_approved_AMT_CREDIT_d_AMT_ANNUITY_diff_min,576.05925,44,0.85107,0.77225
1158,2,f101_approved_DAYS_DECISION_d_app_DAYS_ID_PUBLISH_min,581.25285,40,0.85107,0.77225
1719,2,f103_active_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_DECISIONS_mean,181.64393,8,0.85107,0.77225
1699,2,f101_nyg_middle_cnt_paid_min,194.00223,13,0.85107,0.77225
1707,2,f104_nyg_low_normal_amt_paid_sum,191.5846,13,0.85107,0.77225
1702,2,f101_approved_total_debt_min,192.89979,14,0.85107,0.77225
1146,2,f101_nyg_high_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_DECISIONS_max,604.30044,37,0.85107,0.77225
1141,2,f101_approved_DAYS_FIRST_DUE_d_app_DAYS_LAST_PHONE_CHANGE_mean,608.58576,40,0.85107,0.77225
1142,2,f101_approved_interest_rate_diff_max_div_min,605.27726,42,0.85107,0.77225
1696,2,f101_nyg_low_normal_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_mean,195.8091,12,0.85107,0.77225
1697,2,f103_nyg_low_normal_amt_paid_sum,195.72229,13,0.85107,0.77225
1173,2,f101_completed_AMT_APPLICATION_s_app_AMT_INCOME_TOTAL_max,558.00295,32,0.85107,0.77225
1170,2,f101_approved_AMT_GOODS_PRICE_s_app_AMT_INCOME_TOTAL_pctchange_max,559.70884,44,0.85107,0.77225
1140,2,f101_nyg_high_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_mean,609.41751,39,0.85107,0.77225
1383,2,f101_nyg_high_total_debt_max_div_min,374.36112,26,0.85107,0.77225
1415,2,f103_approved_AMT_CREDIT_d_AMT_ANNUITY_min,347.48624,24,0.85107,0.77225
1416,2,f108_DAYS_FIRST_DUE-s-app_DAYS_REGISTRATION,347.00531,27,0.85107,0.77225
1417,2,f101_nyg_low_normal_total_debt_std,346.94703,24,0.85107,0.77225
1420,2,f101_nyg_middle_AMT_APPLICATION_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_mean,343.51559,22,0.85107,0.77225
962,2,f101_approved_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_FIRST_DUE_mean,2240.70006,89,0.85107,0.77225
1419,2,f101_nyg_low_normal_AMT_ANNUITY_d_app_AMT_ANNUITY_diff_mean,345.50681,26,0.85107,0.77225
1424,2,f104_active_AMT_CREDIT_d_total_debt_min,341.1658,19,0.85107,0.77225
1418,2,f101_approved_AMT_ANNUITY_s_app_AMT_INCOME_TOTAL_min,345.69563,21,0.85107,0.77225
1839,2,f102_nyg_high_AMT_GOODS_PRICE_d_total_debt_min,56.86,4,0.85107,0.77225
1410,2,f101_completed_DAYS_LAST_DUE_d_app_DAYS_BIRTH_min,352.87132,25,0.85107,0.77225
965,2,f102_approved_DAYS_FIRST_DRAWING_s_app_DAYS_EMPLOYED_mean,2097.4807,72,0.85107,0.77225
