chunk,feature,importance_gain,importance_split,auc_train,auc_valid
1,f001_EXT_SOURCES_mean,141905.77873,503,0.85131,0.77201
1,f002_ORGANIZATION_TYPE,36410.58327,1901,0.85131,0.77201
1,f001_EXT_SOURCES_sum,34389.8379,268,0.85131,0.77201
1,f001_EXT_SOURCE_3,20425.08887,380,0.85131,0.77201
1,f001_EXT_SOURCE_2,15027.80633,292,0.85131,0.77201
1,f001_AMT_GOODS_PRICE-d-AMT_CREDIT,9912.75656,238,0.85131,0.77201
1,f001_EXT_SOURCES_prod,7942.8677,127,0.85131,0.77201
1,f101_approved_DAYS_FIRST_DRAWING_d_app_DAYS_BIRTH_mean,7061.25549,212,0.85131,0.77201
1,f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,6825.37244,212,0.85131,0.77201
1,f001_AMT_CREDIT-d-AMT_ANNUITY,5943.96808,253,0.85131,0.77201
1,f001_AMT_ANNUITY-d-AMT_CREDIT,5680.64453,226,0.85131,0.77201
1,f001_CODE_GENDER,5380.91899,178,0.85131,0.77201
1,f002_OCCUPATION_TYPE,4825.69999,260,0.85131,0.77201
1,f001_DAYS_EMPLOYED,4410.48886,78,0.85131,0.77201
1,f003_NAME_EDUCATION_TYPE_ta,4072.7858,117,0.85131,0.77201
1,f001_EXT_SOURCE_1,3489.45393,176,0.85131,0.77201
1,f001_EXT_SOURCES_2-3,3275.98106,118,0.85131,0.77201
1,f001_maxwell_feature,3080.56625,95,0.85131,0.77201
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT,2984.43596,129,0.85131,0.77201
1,f001_OWN_CAR_AGE-s-DAYS_EMPLOYED,2974.83969,119,0.85131,0.77201
1,f003_OCCUPATION_TYPE_ta,2932.1717,102,0.85131,0.77201
1,f101_nyg_high_AMT_DOWN_PAYMENT_mean,2810.02321,94,0.85131,0.77201
1,f101_nyg_high_AMT_CREDIT_d_AMT_ANNUITY_max,2440.16226,88,0.85131,0.77201
1,f001_AMT_GOODS_PRICE-s-AMT_CREDIT-d-AMT_INCOME_TOTAL,2390.39435,102,0.85131,0.77201
1,f001_OWN_CAR_AGE,2295.98994,90,0.85131,0.77201
1,f105_prevapp_future_payment_10m,2292.37181,83,0.85131,0.77201
